season,turbine,seasonal_demand_mwh,seasonal_generation_mwh,seasonal_coverage_percent
Autumn,Vestas V136 4.5 MW,62188.04,2668.17,4.29
Autumn,Siemens Gamesa SG 5.0-145,62188.04,2501.5,4.02
Autumn,Nordex N149 5.X,62188.04,2851.71,4.59
Autumn,Enercon E-138 EP3,62188.04,2199.67,3.54
Spring,Vestas V136 4.5 MW,62830.43,2022.21,3.22
Spring,Siemens Gamesa SG 5.0-145,62830.43,1866.05,2.97
Spring,Nordex N149 5.X,62830.43,2127.29,3.39
Spring,Enercon E-138 EP3,62830.43,1660.74,2.64
Summer,Vestas V136 4.5 MW,62889.45,1905.04,3.03
Summer,Siemens Gamesa SG 5.0-145,62889.45,1760.18,2.8
Summer,Nordex N149 5.X,62889.45,2006.61,3.19
Summer,Enercon E-138 EP3,62889.45,1573.87,2.5
Winter,Vestas V136 4.5 MW,61681.95,2893.41,4.69
Winter,Siemens Gamesa SG 5.0-145,61681.95,2740.66,4.44
Winter,Nordex N149 5.X,61681.95,3124.35,5.07
Winter,Enercon E-138 EP3,61681.95,2398.81,3.89
