scenario,turbine,annual_generation_mwh,scenario_demand_mwh,coverage_percent
Low demand (-10%),Vestas V136 4.5 MW,9488.82,224630.88,4.22
Base demand,Vestas V136 4.5 MW,9488.82,249589.87,3.8
High demand (+10%),Vestas V136 4.5 MW,9488.82,274548.85,3.46
Low demand (-10%),Siemens Gamesa SG 5.0-145,8868.38,224630.88,3.95
Base demand,Siemens Gamesa SG 5.0-145,8868.38,249589.87,3.55
High demand (+10%),Siemens Gamesa SG 5.0-145,8868.38,274548.85,3.23
Low demand (-10%),Nordex N149 5.X,10109.96,224630.88,4.5
Base demand,Nordex N149 5.X,10109.96,249589.87,4.05
High demand (+10%),Nordex N149 5.X,10109.96,274548.85,3.68
Low demand (-10%),Enercon E-138 EP3,7833.09,224630.88,3.49
Base demand,Enercon E-138 EP3,7833.09,249589.87,3.14
High demand (+10%),Enercon E-138 EP3,7833.09,274548.85,2.85
